DateTime,Entries,UniqueIPs
1568794593,42470,42470
1568802756,43270,43270
1568803719,43804,43804
1568805149,44301,44301
1568897772,35231,35231
1568978653,31439,31439
1569071322,19071,19071
1569163461,11329,11329
1569255617,8175,8175
1569348013,8220,8220
1569416430,6116,6116
1569508095,6058,6058
1569600503,5808,5808
1569691456,5531,5531
1569782898,5712,5712
1569851810,6507,6507
1569944187,6588,6588
1570037066,5827,5827
1570129247,5811,5811
1570163545,6694,6694
1570185614,7489,7489
1570190922,8309,8309
1570195652,9108,9108
1570199537,9895,9895
1570203816,10688,10688
1570207473,10901,10901
1570211086,11705,11705
1570219724,12463,12463
1570224755,13266,13266
1570227883,14027,14027
1570231457,14835,14835
1570235060,15622,15622
1570248741,16400,16400
1570253536,17226,17226
1570346668,17412,17412
1570438580,17270,17270
1570531008,17263,17263
1570624243,17182,17182
1570715792,17184,17184
1570807693,13395,13395
1570899392,6113,6113
1570992030,6151,6151
1571084433,6155,6155
1571177790,6194,6194
1571268744,6250,6250
1571269459,6254,6254
1571359209,6255,6255
1571360660,6280,6280
1571408886,6780,6780
1571410817,7133,7133
1571500815,7208,7208
1571501784,7242,7242
1571592752,7313,7313
1571593704,7312,7312
1571684452,7314,7314
1571685615,7290,7290
1571777539,7389,7389
1571778044,7316,7316
1571868981,7357,7357
1571870651,7433,7433
1571960893,7439,7439
1571963234,7487,7487
1572010402,7489,7489
1572013232,7497,7497
1572103956,7498,7498
1572107547,7042,7042
1572197550,7042,7042
1572200913,7021,7021
1572291396,6524,6524
1572294011,6588,6588
1572382370,6588,6588
1572385471,6537,6537
1572474247,6537,6537
1572477636,6540,6540
1572566183,6543,6543
1572568568,6529,6529
1572659073,6536,6536
1572661952,6528,6528
1572751208,6530,6530
1572755073,6568,6568
1572843646,6540,6540
1572846979,6604,6604
1572875051,7090,7090
1572878423,7566,7566
1572959081,7556,7556
1572967238,7538,7538
1573050976,7530,7530
1573060347,7646,7646
1573144824,7646,7646
1573151792,7677,7677
1573210575,7740,7740
1573213954,7740,7740
1573301337,7582,7582
1573305399,7563,7563
1573392993,7370,7370
1573396353,7370,7370
1573484170,6875,6875
1573488769,6421,6421
1573576362,6448,6448
1573580893,6452,6452
1573656756,6945,6945
1573660840,6953,6953
1573747976,6961,6961
1573752274,6955,6955
1573840097,6464,6464
1573843956,6464,6464
1573931779,6654,6654
1573936099,6674,6674
1574023242,6878,6878
1574027292,6880,6880
1574115156,6861,6861
1574119221,6864,6864
1574207055,6857,6857
1574211620,6861,6861
1574298756,6860,6860
1574303775,6860,6860
1574390419,6881,6881
1574395464,6887,6887
1574413461,7387,7387
1574417313,7844,7844
1574505179,7843,7843
1574508753,7836,7836
1574533451,8332,8332
1574536101,8766,8766
1574613879,8762,8762
1574616275,8710,8710
1574694041,8710,8710
1574695710,8676,8676
1574754968,8639,8639
