DateTime,AddedIPs,RemovedIPs
1571305956,0,4
1571309806,110,0
1571313816,0,2
1571315806,7,136
1571317728,21,0
1571325721,7,7
1571343141,1,0
1571345069,0,64
1571349135,134,0
1571352986,0,7
1571354896,0,92
1571357785,4,0
1571359709,110,59
1571369315,2,0
1571387066,0,35
1571390233,11,0
1571392101,47,0
1571395993,0,110
1571399773,13,0
1571401943,0,25
1571403928,4,18
1571405808,121,0
1571411577,0,7
1571415642,5,0
1571429312,1,1
1571435073,1,133
1571436980,0,1
1571440834,14,0
1571444677,0,106
1571446576,0,8
1571454534,0,2
1571467944,235,0
1571477566,64,34
1571479474,27,0
1571485721,0,13
1571487634,2,0
1571489536,1,0
1571491478,0,128
1571501826,0,5
1571515719,0,1
1571517624,120,0
1571519556,11,0
1571521460,0,1
1571527217,4,11
1571554338,0,235
1571560091,1,0
1571564186,0,115
1571573788,0,1
1571575937,0,2
1571604796,0,131
1571608568,1,0
1571613376,0,7
1571647264,0,1
1571693298,0,1
1571698338,1,0
1571807792,1,0
1571823165,0,1
1571890622,0,1
1572023799,1,0
1572074682,1,0
1572183644,0,1
1572225638,0,1
1572243420,1,0
1572308435,1,0
1572329987,0,1
1572378048,1,0
1572396035,0,1
1572432267,1,0
1572463955,0,1
1572491076,1,0
1572513394,1,0
1572515566,1,0
1572517464,0,1
1572578435,0,1
1572718827,1,0
1572804985,0,1
1572979472,1,0
1573037562,1,0
1573065161,0,1
1573124623,0,1
1573170743,1,0
1573203257,1,0
1573258606,1,1
1573282598,1,0
1573290991,0,1
1573343568,0,1
1573369000,0,1
1573411223,1,0
1573447242,1,0
1573484730,1,1
1573498602,0,1
1573532244,0,1
1573571547,0,1
1573754912,1,0
1573801292,1,0
1573818995,1,0
1573840600,0,1
1573860493,1,0
1573878025,1,0
1573887920,0,1
1573891717,1,0
1573905393,0,1
1573964196,0,1
1573977749,0,1
1574023706,0,1
1574232027,10,0
1574233966,5,0
1574317236,0,3
1574319141,0,8
1574321102,0,4
1574451139,1,0
1574467312,0,1
1574537069,0,1
1575481474,1,0
1575553475,1,0
1575568973,0,1
1575578921,1,0
1575638658,0,1
1575663637,0,1
1575872424,1,0
1575939142,1,0
1575958826,0,1
1576008136,1,0
1576028180,1,0
1576030354,0,1
1576041878,1,0
1576093475,0,1
1576114839,0,1
1576126581,0,1
1576570169,1,0
1576643550,1,0
1576657007,0,1
1576675476,1,0
1576679310,1,0
1576729696,0,1
1576762103,0,1
1576776034,2,1
1576812256,1,0
1576835798,1,0
1576863617,0,2
1576894592,1,0
1576898422,0,1
1576915944,1,0
1576923648,0,1
1576941162,1,0
1576959986,1,0
1576969994,1,0
1576979789,0,1
1577003293,0,1
1577013145,1,0
1577027316,0,1
1577046498,0,1
1577085873,1,0
1577095485,1,0
1577099339,0,1
1577146814,0,1
1577148754,1,0
1577153048,1,0
1577172035,0,1
1577181934,0,1
1577189564,1,0
1577210950,1,0
1577228578,1,0
1577234650,0,1
1577238730,0,1
1577242575,1,0
1577258428,1,0
1577264185,2,0
1577268068,1,0
1577271891,1,0
1577275933,0,1
1577283854,1,0
1577292974,1,0
1577297089,0,1
1577314596,0,1
1577328511,0,1
1577344124,0,1
1577350343,0,2
1577352260,1,0
1577354186,1,1
1577356105,1,0
1577359226,3,1
1577375069,1,0
1577379131,0,1
1577437946,0,1
1577439877,0,1
1577443939,0,2
1577445853,0,2
1577447793,0,1
1577449946,1,0
1577461728,0,1
1577517147,1,0
1577535638,0,1
1577601856,0,1
1577811381,1,0
1577989467,0,1
