DateTime,AddedIPs,RemovedIPs
1582194025,1,0
1582206330,1,0
1582215928,0,1
1582279524,1,0
1582291227,1,0
1582293324,1,0
1582298127,1,0
1582304427,1,0
1582341925,1,0
1582372226,1,0
1582379723,1,0
1582427726,1,0
1582430123,1,0
1582443323,1,0
1582448425,1,0
1582451722,1,0
1582538123,1,0
1582545323,1,0
1582605924,1,0
1582612224,0,1
1582625424,1,0
1582638327,1,0
1582689627,1,0
1582697124,1,0
1582700722,1,0
1582713624,1,0
1582739424,0,1
1582776025,1,0
1582798824,1,0
1582800623,1,0
1582808723,1,0
1582811425,0,1
1582815629,1,0
1582861223,1,0
1582883123,1,0
1582884927,1,0
1582887324,1,0
1582898124,1,0
1582907427,0,1
1582907724,0,1
1582915528,0,2
1582947322,1,0
1582951526,8,0
1582971325,1,0
1582977625,1,0
1582983322,1,0
1582992025,1,0
1583019624,1,0
1583024122,1,0
1583034324,1,0
1583056827,1,0
1583057724,1,0
1583106922,1,0
1583147126,1,0
1583148924,1,0
1583183425,1,0
1583220922,1,0
1583229925,1,0
1583281823,0,1
1583287225,1,0
1583316924,1,0
1583334622,1,0
1583371826,1,0
1583387124,1,0
1583403323,1,0
1583410825,0,1
1583416522,1,0
1583453123,1,0
1583466024,1,0
1583466921,1,0
1583489723,1,0
1583507423,1,0
1583534722,0,4
1583548223,1,0
1583557224,1,0
1583576124,1,0
1583591723,1,0
1583662524,1,0
1583721322,1,0
1583722223,1,0
1583725223,1,0
1583735136,1,0
1583736625,1,0
1583743526,1,0
1583748924,1,0
1583756126,1,0
1583785223,1,0
1583802923,1,0
1583812522,1,0
1583851224,1,0
1583888424,1,0
1583892922,1,0
1583897426,1,0
1583912123,1,0
1583912423,1,0
1583940923,0,2
1583982925,1,0
1583984122,1,0
1583998827,1,0
1584021926,1,0
1584085230,1,0
1584156924,1,0
1584173125,1,0
1584182125,1,0
1584201322,1,0
1584211526,0,2
1584235528,1,0
1584245727,1,0
1584252326,0,1
1584258328,1,0
1584260727,1,0
1584264026,1,0
1584312027,1,0
1584331523,7,0
1584333627,1,0
1584340828,1,0
1584342627,1,0
1584345324,1,0
1584346825,1,0
1584410723,1,0
1584414928,1,0
1584416425,1,0
1584417030,1,0
1584442830,0,3
1584443425,0,65447
1584446431,1,0
